eyeDataTimestamp,eyeDataRelativeTimestamp,frameTimestamp,isCalibrationValid,gazeHasValue,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,gazePoint_target_name,gazePoint_target_x,gazePoint_target_y,gazePoint_target_z,gazePoint_target_pos_x,gazePoint_target_pos_y,gazePoint_target_pos_z,gazePoint_target_rot_x,gazePoint_target_rot_y,gazePoint_target_rot_z,gazePoint_target_scale_x,gazePoint_target_scale_y,gazePoint_target_scale_z,gazePointLeftScreen_x,gazePointLeftScreen_y,gazePointLeftScreen_z,gazePointRightScreen_x,gazePointRightScreen_y,gazePointRightScreen_z,gazePointMonoScreen_x,gazePointMonoScreen_y,gazePointMonoScreen_z,GazePointWebcam_x,GazePointWebcam_y,GazePointWebcam_z,gazePointAOIHit,gazePointAOI_x,gazePointAOI_y,gazePointAOI_z,gazePointAOI_name,gazePointAOI_target_x,gazePointAOI_target_y,gazePointAOI_target_z,gazePointAOI_target_pos_x,gazePointAOI_target_pos_y,gazePointAOI_target_pos_z,gazePointAOI_target_rot_x,gazePointAOI_target_rot_y,gazePointAOI_target_rot_z,gazePointAOI_target_scale_x,gazePointAOI_target_scale_y,gazePointAOI_target_scale_z,GazePointAOIWebcam_x,GazePointAOIWebcam_y,GazePointAOIWebcam_z,GameObject_Main Camera_xPos,GameObject_Main Camera_yPos,GameObject_Main Camera_zPos,GameObject_Main Camera_xRot,GameObject_Main Camera_yRot,GameObject_Main Camera_zRot,GameObject_Main Camera_xScale,GameObject_Main Camera_yScale,GameObject_Main Camera_zScale,info
1660745465180,15272323.0373,1660745465203,True,True,0.00314,0.07909,0.09440,0.09875,-0.06064,0.99326,True,0.33352,-0.12380,3.41746,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.33352,-0.12380,3.41746,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-2881.92600,1020.52000,-1.73355,-2653.72600,1024.08100,-1.77807,-2722.69800,853.79240,-1.79561,-858.06570,443.51220,-1.85130,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20951,0.51534,0.95968,356.92010,192.72660,357.17070,1.00000,1.00000,1.00000,
1660745465214,15272356.3710,1660745465247,True,True,0.00285,0.07876,0.09147,0.08411,-0.06225,0.99451,True,0.28349,-0.12896,3.40976,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.28349,-0.12896,3.40976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-2988.78200,959.65630,-1.71238,-2754.29500,964.35580,-1.75789,-2834.79000,797.72030,-1.76959,-900.28760,421.49740,-1.82571,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20112,0.51494,0.94762,356.77970,193.11060,356.18700,1.00000,1.00000,1.00000,
1660745465247,15272389.7048,1660745465277,True,True,0.00344,0.07888,0.09299,0.07496,-0.06234,0.99524,True,0.25291,-0.12859,3.40505,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.25291,-0.12859,3.40505,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-3045.82900,904.45380,-1.70375,-2808.00800,910.22340,-1.74990,-2897.49200,744.26140,-1.75728,-923.75340,400.61600,-1.81375,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19708,0.51454,0.93873,356.62050,193.30840,355.41960,1.00000,1.00000,1.00000,
1660745465280,15272423.0386,1660745465303,True,True,0.00549,0.07887,0.09457,0.03400,-0.03334,0.99887,True,0.11748,-0.03094,3.38410,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.11748,-0.03094,3.38410,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-3288.54100,765.60880,-1.65544,-3035.46700,774.53360,-1.70366,-3153.07900,612.53270,-1.69922,-1019.65100,349.10660,-1.75662,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19547,0.51431,0.93412,356.46900,193.41860,355.07360,1.00000,1.00000,1.00000,
1660745465314,15272456.3724,1660745465337,True,True,0.00883,0.07859,0.09546,0.02840,-0.03012,0.99914,True,0.10224,-0.02050,3.38178,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.10224,-0.02050,3.38178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-3347.38300,704.84700,-1.64215,-3090.37800,715.18350,-1.69085,-3218.36100,553.80870,-1.68220,-1043.82300,326.31180,-1.73992,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19310,0.51338,0.92450,356.15340,193.78360,354.53930,1.00000,1.00000,1.00000,
1660745465347,15272489.7061,1660745465367,True,True,0.00811,0.07912,0.09150,0.02294,-0.02800,0.99935,True,0.08359,-0.01298,3.37897,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.08359,-0.01298,3.37897,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-3435.30700,638.34130,-1.62101,-3172.26800,650.36590,-1.67031,-3316.80500,489.57480,-1.65577,-1080.38500,301.39110,-1.71386,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19226,0.51297,0.91420,355.70400,194.29420,353.95480,1.00000,1.00000,1.00000,
1660745465380,15272523.0400,1660745465403,True,True,0.00825,0.07939,0.09327,0.01909,-0.02286,0.99956,True,0.07095,0.00429,3.37701,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.07095,0.00429,3.37701,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-3485.65700,562.52720,-1.61096,-3219.16600,576.40950,-1.66074,-3380.57000,415.43570,-1.63992,-1103.79700,272.70280,-1.69839,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19334,0.51171,0.90310,355.18310,194.66270,353.45660,1.00000,1.00000,1.00000,
1660745465414,15272556.3738,1660745465447,True,True,0.00929,0.08050,0.08938,0.01111,-0.01754,0.99979,True,0.04577,0.02289,3.37317,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.04577,0.02289,3.37317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-3556.09500,467.79110,-1.59967,-3284.81800,484.13230,-1.65018,-3464.58800,323.45170,-1.62287,-1134.75200,237.10440,-1.68182,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19664,0.50943,0.88568,354.45020,195.06190,352.89240,1.00000,1.00000,1.00000,
1660745465447,15272589.7075,1660745465467,True,True,0.00876,0.08075,0.08993,0.00866,-0.01736,0.99981,True,0.03718,0.02375,3.37188,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.03718,0.02375,3.37188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-3593.96900,454.60710,-1.59192,-3320.03400,471.42710,-1.64267,-3503.87700,310.57530,-1.61434,-1149.44200,232.09900,-1.67338,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19882,0.50705,0.87988,354.46020,195.21290,352.79080,1.00000,1.00000,1.00000,
1660745465480,15272623.0413,1660745465503,True,True,0.00702,0.08069,0.09184,0.00855,-0.01941,0.99978,True,0.03508,0.01701,3.37160,SpatialMesh - 4D09D5E4683F3599-BA7728BE2A4B5EAB,0.03508,0.01701,3.37160,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,-3636.05400,447.14680,-1.58357,-3359.15600,464.33690,-1.63457,-3544.03300,302.90140,-1.60632,-1164.51300,229.09180,-1.66543,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20280,0.50670,0.86850,354.88530,195.44800,352.44030,1.00000,1.00000,1.00000,
