eyeDataTimestamp,eyeDataRelativeTimestamp,frameTimestamp,isCalibrationValid,gazeHasValue,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,gazePoint_target_name,gazePoint_target_x,gazePoint_target_y,gazePoint_target_z,gazePoint_target_pos_x,gazePoint_target_pos_y,gazePoint_target_pos_z,gazePoint_target_rot_x,gazePoint_target_rot_y,gazePoint_target_rot_z,gazePoint_target_scale_x,gazePoint_target_scale_y,gazePoint_target_scale_z,gazePointLeftScreen_x,gazePointLeftScreen_y,gazePointLeftScreen_z,gazePointRightScreen_x,gazePointRightScreen_y,gazePointRightScreen_z,gazePointMonoScreen_x,gazePointMonoScreen_y,gazePointMonoScreen_z,GazePointWebcam_x,GazePointWebcam_y,GazePointWebcam_z,gazePointAOIHit,gazePointAOI_x,gazePointAOI_y,gazePointAOI_z,gazePointAOI_name,gazePointAOI_target_x,gazePointAOI_target_y,gazePointAOI_target_z,gazePointAOI_target_pos_x,gazePointAOI_target_pos_y,gazePointAOI_target_pos_z,gazePointAOI_target_rot_x,gazePointAOI_target_rot_y,gazePointAOI_target_rot_z,gazePointAOI_target_scale_x,gazePointAOI_target_scale_y,gazePointAOI_target_scale_z,GazePointAOIWebcam_x,GazePointAOIWebcam_y,GazePointAOIWebcam_z,GameObject_Main Camera_xPos,GameObject_Main Camera_yPos,GameObject_Main Camera_zPos,GameObject_Main Camera_xRot,GameObject_Main Camera_yRot,GameObject_Main Camera_zRot,GameObject_Main Camera_xScale,GameObject_Main Camera_yScale,GameObject_Main Camera_zScale,info
1662642769403,765064.4914,1662642769440,True,True,0.00763,0.04799,0.10980,-0.04399,-0.29021,0.95595,True,-0.03819,-0.25431,1.10559,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03819,-0.25431,1.10559,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,879.54220,514.29020,0.93373,819.57840,510.51940,0.93378,851.14080,361.57850,0.93221,531.26210,206.97910,0.88240,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01848,0.01972,0.21066,13.66152,354.54060,358.83330,1.00000,1.00000,1.00000,
1662642769436,765097.8252,1662642769461,True,True,0.00763,0.04796,0.10980,-0.04279,-0.29415,0.95480,True,-0.03698,-0.25870,1.10523,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03698,-0.25870,1.10523,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,881.47970,506.26330,0.93467,821.60200,502.42410,0.93472,853.19210,353.57370,0.93281,532.15920,203.63760,0.88302,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01840,0.01973,0.21066,13.67645,354.54740,358.81660,1.00000,1.00000,1.00000,
1662642769469,765131.1590,1662642769491,True,True,0.00751,0.04792,0.10980,-0.04337,-0.29670,0.95399,True,-0.03772,-0.26150,1.10468,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03772,-0.26150,1.10468,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,879.61630,499.93090,0.93501,819.75050,496.05360,0.93508,851.34860,347.26270,0.93290,531.40850,200.97040,0.88313,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01841,0.01986,0.21082,13.66155,354.56320,358.77970,1.00000,1.00000,1.00000,
1662642769503,765164.4927,1662642769525,True,True,0.00812,0.04789,0.10974,-0.04298,-0.29854,0.95343,True,-0.03673,-0.26361,1.10459,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03673,-0.26361,1.10459,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,881.40480,496.01490,0.93547,821.58180,492.10010,0.93553,853.20400,343.35070,0.93319,532.20650,199.34120,0.88343,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01834,0.01971,0.21081,13.65547,354.56350,358.76750,1.00000,1.00000,1.00000,
1662642769536,765197.8265,1662642769561,True,True,0.00870,0.04791,0.10978,-0.04391,-0.29946,0.95310,True,-0.03712,-0.26459,1.10437,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03712,-0.26459,1.10437,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,879.36030,493.54330,0.93551,819.52860,489.62020,0.93559,851.14330,340.88930,0.93314,531.34830,198.29110,0.88338,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01831,0.01984,0.21099,13.64985,354.60360,358.75640,1.00000,1.00000,1.00000,
1662642769569,765231.1603,1662642769581,True,True,0.00949,0.04787,0.10979,-0.04425,-0.30009,0.95289,True,-0.03669,-0.26534,1.10436,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03669,-0.26534,1.10436,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,879.60240,492.00050,0.93564,819.77970,488.06470,0.93572,851.40200,339.34880,0.93320,531.46380,197.64510,0.88345,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01832,0.01963,0.21101,13.63500,354.62380,358.76180,1.00000,1.00000,1.00000,
1662642769603,765264.4940,1662642769627,True,True,0.00976,0.04783,0.10974,-0.04433,-0.30207,0.95226,True,-0.03652,-0.26759,1.10408,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03652,-0.26759,1.10408,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,878.96690,492.34500,0.93607,819.20310,488.41600,0.93615,850.78610,339.69450,0.93365,531.20130,197.80900,0.88389,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01840,0.01963,0.21101,13.78500,354.65260,358.80860,1.00000,1.00000,1.00000,
1662642769636,765297.8278,1662642769650,True,True,0.00976,0.04777,0.10979,-0.04234,-0.30384,0.95178,True,-0.03448,-0.26969,1.10421,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03448,-0.26969,1.10421,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,883.80970,487.68680,0.93665,824.10270,483.69930,0.93671,855.74790,335.03170,0.93402,533.31170,195.88030,0.88427,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01846,0.01971,0.21104,13.76645,354.62670,358.80650,1.00000,1.00000,1.00000,
1662642769669,765331.1615,1662642769691,True,True,0.01026,0.04771,0.10984,-0.04323,-0.30377,0.95177,True,-0.03490,-0.26963,1.10413,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03490,-0.26963,1.10413,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,885.39660,486.94510,0.93635,825.64710,482.94310,0.93640,857.33860,334.28670,0.93369,533.98650,195.55710,0.88394,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01850,0.01967,0.21120,13.74054,354.55240,358.78650,1.00000,1.00000,1.00000,
1662642769703,765364.4953,1662642769731,True,True,0.01030,0.04769,0.10979,-0.04039,-0.30444,0.95168,True,-0.03192,-0.27055,1.10462,SpatialMesh - 4441A1FE56A744FD-3A86E8E8123EDC86,-0.03192,-0.27055,1.10462,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,891.37680,487.80550,0.93682,831.69910,483.78100,0.93683,863.42800,335.13120,0.93417,536.54860,195.96240,0.88442,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01842,0.01949,0.21115,13.80624,354.53420,358.84910,1.00000,1.00000,1.00000,
