eyeDataTimestamp,eyeDataRelativeTimestamp,frameTimestamp,isCalibrationValid,gazeHasValue,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,gazePoint_target_name,gazePoint_target_x,gazePoint_target_y,gazePoint_target_z,gazePoint_target_pos_x,gazePoint_target_pos_y,gazePoint_target_pos_z,gazePoint_target_rot_x,gazePoint_target_rot_y,gazePoint_target_rot_z,gazePoint_target_scale_x,gazePoint_target_scale_y,gazePoint_target_scale_z,gazePointLeftScreen_x,gazePointLeftScreen_y,gazePointLeftScreen_z,gazePointRightScreen_x,gazePointRightScreen_y,gazePointRightScreen_z,gazePointMonoScreen_x,gazePointMonoScreen_y,gazePointMonoScreen_z,GazePointWebcam_x,GazePointWebcam_y,GazePointWebcam_z,gazePointAOIHit,gazePointAOI_x,gazePointAOI_y,gazePointAOI_z,gazePointAOI_name,gazePointAOI_target_x,gazePointAOI_target_y,gazePointAOI_target_z,gazePointAOI_target_pos_x,gazePointAOI_target_pos_y,gazePointAOI_target_pos_z,gazePointAOI_target_rot_x,gazePointAOI_target_rot_y,gazePointAOI_target_rot_z,gazePointAOI_target_scale_x,gazePointAOI_target_scale_y,gazePointAOI_target_scale_z,GazePointAOIWebcam_x,GazePointAOIWebcam_y,GazePointAOIWebcam_z,GameObject_Main Camera_xPos,GameObject_Main Camera_yPos,GameObject_Main Camera_zPos,GameObject_Main Camera_xRot,GameObject_Main Camera_yRot,GameObject_Main Camera_zRot,GameObject_Main Camera_xScale,GameObject_Main Camera_yScale,GameObject_Main Camera_zScale,info
1673622772792,770556.6750,1673622772851,True,True,0.01237,0.04730,0.11050,-0.10367,-0.17455,0.97918,True,-0.11723,-0.17091,1.33456,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.11723,-0.17091,1.33456,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2659.71200,756.02620,0.92021,2617.36100,738.08910,0.90611,2359.54600,581.62050,0.92326,1712.13600,410.46360,0.87086,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10407,-0.00696,0.00979,11.53501,312.74490,357.82760,1.00000,1.00000,1.00000,
1673622772825,770590.0088,1673622772859,True,True,0.01216,0.04725,0.11060,-0.10387,-0.17503,0.97907,True,-0.11764,-0.17148,1.33411,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.11764,-0.17148,1.33411,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2658.22900,754.80740,0.92036,2615.83700,736.86940,0.90627,2358.34700,580.44660,0.92337,1711.34100,409.79250,0.87097,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10407,-0.00696,0.00979,11.53501,312.74490,357.82760,1.00000,1.00000,1.00000,
1673622772858,770623.3427,1673622772875,True,True,0.01147,0.04725,0.11049,-0.10339,-0.17512,0.97911,True,-0.11773,-0.17158,1.33401,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.11773,-0.17158,1.33401,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2661.37600,753.33870,0.91954,2618.92400,735.35660,0.90544,2361.11900,579.00240,0.92247,1713.23400,408.94030,0.87008,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10417,-0.00696,0.00985,11.49677,312.69570,357.82210,1.00000,1.00000,1.00000,
1673622772892,770656.6767,1673622772911,True,True,0.01136,0.04722,0.11054,-0.10387,-0.17518,0.97904,True,-0.11837,-0.17156,1.33328,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.11837,-0.17156,1.33328,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2660.06000,753.85500,0.91936,2617.55700,735.88960,0.90528,2359.92900,579.50650,0.92232,1712.45700,409.21080,0.86993,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10415,-0.00711,0.00982,11.53278,312.68880,357.84890,1.00000,1.00000,1.00000,
1673622772925,770690.0105,1673622772937,True,True,0.01090,0.04719,0.11058,-0.10343,-0.17544,0.97904,True,-0.11828,-0.17193,1.33338,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.11828,-0.17193,1.33338,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2660.68800,755.10210,0.91921,2618.20400,737.14550,0.90512,2360.38500,580.71150,0.92222,1712.76100,409.89480,0.86982,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10420,-0.00701,0.00992,11.59961,312.68370,357.84780,1.00000,1.00000,1.00000,
1673622772958,770723.3444,1673622773005,True,True,0.01087,0.04715,0.11054,-0.10473,-0.17488,0.97901,True,-0.11977,-0.17099,1.33168,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.11977,-0.17099,1.33168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2657.60900,755.02490,0.91888,2614.99700,737.09340,0.90482,2357.69400,580.64590,0.92190,1711.00800,409.82120,0.86951,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10415,-0.00700,0.00973,11.55688,312.66850,357.85820,1.00000,1.00000,1.00000,
1673622772992,770756.6783,1673622773038,True,True,0.01060,0.04714,0.11054,-0.10542,-0.17479,0.97895,True,-0.12078,-0.17068,1.33052,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.12078,-0.17068,1.33052,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2655.16900,754.98990,0.91861,2612.45500,737.07890,0.90456,2355.55900,580.61960,0.92164,1709.61700,409.77690,0.86924,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10419,-0.00709,0.00983,11.55004,312.66530,357.87070,1.00000,1.00000,1.00000,
1673622773025,770790.0122,1673622773039,True,True,0.01048,0.04714,0.11059,-0.10579,-0.17477,0.97891,True,-0.12129,-0.17056,1.32994,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.12129,-0.17056,1.32994,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2653.74600,755.15300,0.91856,2610.99000,737.25600,0.90452,2354.30900,580.78310,0.92159,1708.79400,409.85890,0.86920,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10419,-0.00709,0.00983,11.55004,312.66530,357.87070,1.00000,1.00000,1.00000,
1673622773058,770823.3460,1673622773108,True,True,0.01022,0.04714,0.11054,-0.10536,-0.17456,0.97900,True,-0.12105,-0.17034,1.33021,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.12105,-0.17034,1.33021,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2654.73700,756.40640,0.91847,2612.01800,738.51500,0.90443,2355.08100,581.99300,0.92156,1709.30300,410.55150,0.86916,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10414,-0.00712,0.00976,11.56893,312.66150,357.86890,1.00000,1.00000,1.00000,
1673622773092,770856.6800,1673622773109,True,True,0.01021,0.04713,0.11051,-0.10529,-0.17443,0.97903,True,-0.12097,-0.17019,1.33030,SpatialMesh - 410377967F114988-58BA70FFA87D6DA1,-0.12097,-0.17019,1.33030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,2655.04200,756.70450,0.91844,2612.33100,738.81380,0.90439,2355.32400,582.28030,0.92153,1709.46400,410.71540,0.86913,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10414,-0.00712,0.00976,11.56893,312.66150,357.86890,1.00000,1.00000,1.00000,
