eyeDataTimestamp,eyeDataRelativeTimestamp,frameTimestamp,isCalibrationValid,gazeHasValue,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,gazePoint_target_name,gazePoint_target_x,gazePoint_target_y,gazePoint_target_z,gazePoint_target_pos_x,gazePoint_target_pos_y,gazePoint_target_pos_z,gazePoint_target_rot_x,gazePoint_target_rot_y,gazePoint_target_rot_z,gazePoint_target_scale_x,gazePoint_target_scale_y,gazePoint_target_scale_z,gazePointLeftScreen_x,gazePointLeftScreen_y,gazePointLeftScreen_z,gazePointRightScreen_x,gazePointRightScreen_y,gazePointRightScreen_z,gazePointMonoScreen_x,gazePointMonoScreen_y,gazePointMonoScreen_z,GazePointWebcam_x,GazePointWebcam_y,GazePointWebcam_z,gazePointAOIHit,gazePointAOI_x,gazePointAOI_y,gazePointAOI_z,gazePointAOI_name,gazePointAOI_target_x,gazePointAOI_target_y,gazePointAOI_target_z,gazePointAOI_target_pos_x,gazePointAOI_target_pos_y,gazePointAOI_target_pos_z,gazePointAOI_target_rot_x,gazePointAOI_target_rot_y,gazePointAOI_target_rot_z,gazePointAOI_target_scale_x,gazePointAOI_target_scale_y,gazePointAOI_target_scale_z,GazePointAOIWebcam_x,GazePointAOIWebcam_y,GazePointAOIWebcam_z,GameObject_Main Camera_xPos,GameObject_Main Camera_yPos,GameObject_Main Camera_zPos,GameObject_Main Camera_xRot,GameObject_Main Camera_yRot,GameObject_Main Camera_zRot,GameObject_Main Camera_xScale,GameObject_Main Camera_yScale,GameObject_Main Camera_zScale,info
1692877246986,9869801.7939,1692877247021,True,True,0.00156,0.03525,0.11207,0.06928,-0.59519,0.80059,True,0.05736,-0.44415,0.75691,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.05736,-0.44415,0.75691,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6376.08900,-8.29351,1.12385,6605.11300,-88.19945,1.07080,5847.89100,-204.57920,1.06822,3996.41800,-4.33243,1.01231,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58651,0.41003,0.26418,19.11484,201.49230,357.70590,1.00000,1.00000,1.00000,
1692877247020,9869835.1277,1692877247054,True,True,0.00168,0.03533,0.11196,0.07068,-0.59308,0.80204,True,0.05882,-0.44411,0.76033,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.05882,-0.44411,0.76033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6387.20400,-3.09768,1.12163,6617.31200,-82.95647,1.06855,5857.02300,-199.16760,1.06629,4002.76700,-1.32870,1.01036,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58639,0.41023,0.26448,19.12711,201.51300,357.63070,1.00000,1.00000,1.00000,
1692877247053,9869868.4617,1692877247083,True,True,0.00191,0.03539,0.11195,0.07190,-0.59082,0.80360,True,0.06026,-0.44406,0.76407,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.06026,-0.44406,0.76407,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6402.67500,-2.73293,1.11859,6634.07200,-82.81081,1.06551,5871.26900,-198.90150,1.06335,4012.63200,-1.26536,1.00741,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58636,0.41022,0.26491,19.04013,201.53600,357.57250,1.00000,1.00000,1.00000,
1692877247086,9869901.7955,1692877247116,True,True,0.00190,0.03546,0.11192,0.07494,-0.59027,0.80372,True,0.06281,-0.44427,0.76513,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.06281,-0.44427,0.76513,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6385.74800,15.48974,1.12107,6616.25800,-63.56924,1.06796,5851.47600,-179.51570,1.06665,3999.12200,9.77676,1.01067,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58601,0.41028,0.26493,19.02078,201.62910,357.41200,1.00000,1.00000,1.00000,
1692877247120,9869935.1293,1692877247155,True,True,0.00144,0.03553,0.11195,0.07765,-0.58996,0.80369,True,0.06461,-0.44442,0.76578,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.06461,-0.44442,0.76578,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6357.27100,32.97172,1.12583,6585.91500,-44.92960,1.07270,5821.20000,-160.85580,1.07216,3978.35700,20.46652,1.01614,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58582,0.41021,0.26521,18.98804,201.74840,357.28210,1.00000,1.00000,1.00000,
1692877247153,9869968.4632,1692877247186,True,True,0.00132,0.03559,0.11199,0.07803,-0.58989,0.80371,True,0.06482,-0.44443,0.76600,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.06482,-0.44443,0.76600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6313.71800,51.83461,1.13381,6539.34300,-24.63796,1.08065,5776.76300,-140.66500,1.08089,3947.79300,32.10774,1.02483,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58549,0.41048,0.26523,18.97213,201.90910,357.17250,1.00000,1.00000,1.00000,
1692877247186,9870001.7971,1692877247220,True,True,0.00158,0.03569,0.11192,0.07610,-0.58825,0.80509,True,0.06365,-0.44416,0.76866,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.06365,-0.44416,0.76866,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6282.64800,64.10067,1.14000,6506.13300,-11.40860,1.08680,5745.37900,-127.53550,1.08754,3926.16100,39.70641,1.03146,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58517,0.41058,0.26538,18.82057,202.08470,357.08030,1.00000,1.00000,1.00000,
1692877247220,9870035.1309,1692877247250,True,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58476,0.41073,0.26542,18.68511,202.28230,356.96980,1.00000,1.00000,1.00000,
1692877247253,9870068.4648,1692877247284,True,True,-0.01299,0.03734,0.11222,0.21980,-0.45729,0.86173,True,0.14439,-0.29006,0.72920,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.14439,-0.29006,0.72920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6286.07200,311.52110,1.10531,6514.42800,246.39410,1.05271,5693.67700,129.56810,1.06599,3896.13200,183.75230,1.00937,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58442,0.41068,0.26545,18.62289,202.51290,356.89940,1.00000,1.00000,1.00000,
1692877247286,9870101.7987,1692877247317,True,True,-0.01382,0.03753,0.11227,0.22287,-0.45575,0.86175,True,0.14588,-0.28904,0.72976,SpatialMesh - 45EEF936C52C4363-D1EFC022FBF6B393,0.14588,-0.28904,0.72976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,6215.54200,329.97850,1.11749,6438.60700,266.50200,1.06491,5625.40400,148.94880,1.07897,3849.20200,194.93750,1.02231,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58384,0.41087,0.26539,18.53912,202.78510,356.80530,1.00000,1.00000,1.00000,
